City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
177,Kichmengskiy Gorodok,RU,59.9816,45.7854,18.68,96,100,8.48,overcast clouds,2021-01-31 01:23:10
178,Talnakh,RU,69.4865,88.3972,-31.2,71,0,6.93,clear sky,2021-01-31 01:22:11
179,Banda Aceh,ID,5.5577,95.3222,77.49,78,10,12.46,clear sky,2021-01-31 01:22:55
180,Yakeshi,CN,49.2833,120.7333,-15.99,87,100,4.12,overcast clouds,2021-01-31 01:23:11
181,Pushkinskiye Gory,RU,57.0209,28.9103,21.45,99,92,4.03,light snow,2021-01-31 01:23:11
182,Teknaf,BD,20.8624,92.3058,63.46,62,42,9.01,scattered clouds,2021-01-31 01:23:11
183,Chokwe,MZ,-24.5333,32.9833,76.68,88,0,4.23,clear sky,2021-01-31 01:23:12
184,San Patricio,US,28.017,-97.5169,75.2,83,20,13.8,few clouds,2021-01-31 01:23:12
185,Robertsport,LR,6.7533,-11.3686,79.99,86,0,9.06,clear sky,2021-01-31 01:23:12
186,Alyangula,AU,-13.8483,136.4192,87.8,70,55,9.22,broken clouds,2021-01-31 01:23:12
187,Harqalah,TN,36.0303,10.509,61.0,67,0,3.44,clear sky,2021-01-31 01:23:12
188,Lompoc,US,34.6391,-120.4579,53.6,76,1,4.61,clear sky,2021-01-31 01:23:13
189,Pacific Grove,US,36.6177,-121.9166,54.0,78,99,4.56,overcast clouds,2021-01-31 01:23:13
190,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.17,80,91,7.78,overcast clouds,2021-01-31 01:23:13
191,Urumqi,CN,43.801,87.6005,1.4,85,75,2.24,light snow,2021-01-31 01:23:13
192,Santa Marta,CO,11.2408,-74.199,84.2,54,19,13.8,few clouds,2021-01-31 01:23:13
193,Luderitz,NA,-26.6481,15.1594,65.05,66,0,18.1,clear sky,2021-01-31 01:23:14
194,Kuusamo,FI,65.9667,29.1833,10.4,85,75,1.14,light snow,2021-01-31 01:23:14
195,Viransehir,TR,37.2353,39.7631,39.54,87,100,22.24,light rain,2021-01-31 01:13:14
196,Bairiki,KI,1.3292,172.9752,86.0,70,40,9.22,scattered clouds,2021-01-31 01:23:14
197,Pevek,RU,69.7008,170.3133,-33.68,84,9,2.55,clear sky,2021-01-31 01:21:18
198,Taltal,CL,-25.4,-70.4833,66.72,73,9,5.53,clear sky,2021-01-31 01:13:25
199,Guane,CU,22.2025,-84.0875,66.56,79,29,7.49,scattered clouds,2021-01-31 01:23:15
200,Mogadishu,SO,2.0371,45.3438,74.7,84,16,16.69,few clouds,2021-01-31 01:21:11
201,Terra Santa,BR,-2.1042,-56.4869,78.48,78,97,5.57,overcast clouds,2021-01-31 01:23:15
202,San Ramon,US,37.7799,-121.978,57.99,58,90,8.05,overcast clouds,2021-01-31 01:23:15
203,Manicore,BR,-5.8092,-61.3003,75.2,94,0,2.06,moderate rain,2021-01-31 01:23:15
204,Esqueda,MX,30.7167,-109.5833,52.39,44,0,4.68,clear sky,2021-01-31 01:23:15
205,Meulaboh,ID,4.1363,96.1285,75.97,83,58,4.41,broken clouds,2021-01-31 01:23:16
206,Sakakah,SA,29.9697,40.2064,41.0,60,0,8.05,clear sky,2021-01-31 01:23:16
207,Numata,JP,36.6333,139.05,42.01,50,48,14.0,scattered clouds,2021-01-31 01:23:16
208,Merauke,ID,-8.4667,140.3333,82.83,80,100,14.05,overcast clouds,2021-01-31 01:22:36
209,Tuatapere,NZ,-46.1333,167.6833,66.83,45,100,0.78,overcast clouds,2021-01-31 01:23:16
210,Marshfield,US,44.6689,-90.1718,28.4,74,90,14.97,light snow,2021-01-31 01:23:17
211,Salalah,OM,17.0151,54.0924,66.2,68,0,3.44,clear sky,2021-01-31 01:13:31
212,Skreia,NO,60.65,10.9333,10.99,92,90,3.4,fog,2021-01-31 01:23:17
213,Nikolskoye,RU,59.7035,30.7861,25.0,93,75,4.47,light snow,2021-01-31 01:23:17
214,Carballo,ES,43.213,-8.691,51.01,92,100,1.01,light rain,2021-01-31 01:23:17
215,Clarence Town,AU,-32.5833,151.7833,81.0,74,40,17.27,light rain,2021-01-31 01:13:53
216,Buraydah,SA,26.326,43.975,50.0,66,0,5.75,clear sky,2021-01-31 01:13:33
217,Beringovskiy,RU,63.05,179.3167,7.25,94,100,28.16,snow,2021-01-31 01:20:24
218,Tamboril,DO,19.4854,-70.611,69.8,94,75,5.75,broken clouds,2021-01-31 01:23:18
219,Great Falls,US,47.5002,-111.3008,35.6,50,1,9.22,clear sky,2021-01-31 01:18:29
220,Soyo,AO,-6.1349,12.3689,79.68,86,100,8.19,light rain,2021-01-31 01:23:18
