City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
158,Mehamn,NO,26.6,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
159,Harper,LR,78.73,broken clouds,4.375,-7.7169,Screensaver
160,Tongchuan,CN,37.8,overcast clouds,35.0806,109.0897,Tongchuan Hotel
161,Nortelandia,BR,75.36,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
162,Svetlaya,RU,3.97,scattered clouds,46.5389,138.3297,
163,Los Llanos De Aridane,ES,64.4,broken clouds,28.6585,-17.9182,Valle Aridane
164,San Carlos De Bariloche,AR,66.2,broken clouds,-41.1456,-71.3082,Hotel Patagonia
165,La Palma,US,62.6,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
166,Kondinskoye,RU,14.4,overcast clouds,59.6481,67.41,
167,Oussouye,SN,73.4,clear sky,12.485,-16.5469,Auberge du Routard
169,Kawalu,ID,78.4,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
170,Hofn,IS,21.67,clear sky,64.2539,-15.2082,Hótel Höfn
173,Tabas,IR,49.26,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
174,Mathbaria,BD,53.26,clear sky,22.2876,89.9593,Shikdar Hotel
175,Faro,PT,55.4,scattered clouds,37.0194,-7.9322,Hotel Faro & Beach Club
176,Padang,ID,78.58,overcast clouds,-0.9492,100.3543,Mercure Padang
177,Kichmengskiy Gorodok,RU,18.68,overcast clouds,59.9816,45.7854,Gostinitsa
179,Banda Aceh,ID,77.49,clear sky,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
181,Pushkinskiye Gory,RU,21.45,light snow,57.0209,28.9103,"The recreation center ""Pushkinogorye"""
182,Teknaf,BD,63.46,scattered clouds,20.8624,92.3058,Forestry Guesthouse
183,Chokwe,MZ,76.68,clear sky,-24.5333,32.9833,Complexo Sonho Real
184,San Patricio,US,75.2,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
185,Robertsport,LR,79.99,clear sky,6.7533,-11.3686,Kwepunha Retreat
186,Alyangula,AU,87.8,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
187,Harqalah,TN,61.0,clear sky,36.0303,10.509,Dar Khadija
188,Lompoc,US,53.6,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
189,Pacific Grove,US,54.0,overcast clouds,36.6177,-121.9166,Lovers Point Inn
190,Sao Jose Da Coroa Grande,BR,78.17,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
191,Urumqi,CN,1.4,light snow,43.801,87.6005,Hua Ling Grand Hotel Urumqi
192,Santa Marta,CO,84.2,few clouds,11.2408,-74.199,Hotel La Ballena Azul
194,Kuusamo,FI,10.4,light snow,65.9667,29.1833,Hotel Kuusanka
195,Viransehir,TR,39.54,light rain,37.2353,39.7631,Viranşehir Öğretmenevi
